Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/31  23:59:59,4.26E+07
 02/28  23:59:59,3.80E+07
 03/31  23:59:59,4.26E+07
 04/30  23:59:59,3.75E+07
 05/31  23:59:59,3.89E+07
 06/30  23:59:59,3.94E+07
 07/31  23:59:59,4.07E+07
 08/31  23:59:59,4.33E+07
 09/30  23:59:59,3.75E+07
 10/31  23:59:59,3.88E+07
 11/30  23:59:59,3.98E+07
 12/31  23:59:59,4.14E+07
