Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
ZoneInfiltration:FlowCoefficient,Infiltration Master Bedroom,Pressure Exponent,0.675,0.4725,0.8775,Uniform,Float,G262,
ZoneInfiltration:FlowCoefficient,Infiltration Master Bedroom,Wind Coefficient,0.156,0.1092,0.2028,Uniform,Float,G263,
ZoneInfiltration:FlowCoefficient,Infiltration Master Bedroom,Shelter Factor,0.81,0.567,1.053,Uniform,Float,G264,
ZoneInfiltration:FlowCoefficient,Infiltration Basement,Flow Coefficient,0.00758,0.005306,0.009854,Uniform,Float,G265,
ZoneInfiltration:FlowCoefficient,Infiltration Basement,Stack Coefficient,0.089,0.0623,0.1157,Uniform,Float,G266,
ZoneInfiltration:FlowCoefficient,Infiltration Basement,Pressure Exponent,0.675,0.4725,0.8775,Uniform,Float,G267,
ZoneInfiltration:FlowCoefficient,Infiltration Basement,Wind Coefficient,0.156,0.1092,0.2028,Uniform,Float,G268,
ZoneInfiltration:FlowCoefficient,Infiltration Basement,Shelter Factor,0.81,0.567,1.053,Uniform,Float,G269,
ZoneInfiltration:FlowCoefficient,Infiltration Second Floor,Flow Coefficient,0.00758,0.005306,0.009854,Uniform,Float,G270,
ZoneInfiltration:FlowCoefficient,Infiltration Second Floor,Stack Coefficient,0.089,0.0623,0.1157,Uniform,Float,G271,
ZoneInfiltration:FlowCoefficient,Infiltration Second Floor,Pressure Exponent,0.675,0.4725,0.8775,Uniform,Float,G272,
ZoneInfiltration:FlowCoefficient,Infiltration Second Floor,Wind Coefficient,0.156,0.1092,0.2028,Uniform,Float,G273,
ZoneInfiltration:FlowCoefficient,Infiltration Second Floor,Shelter Factor,0.81,0.567,1.053,Uniform,Float,G274,
Exterior:Lights,Outside Lights Energy,Design Level,200,140,260,Uniform,Float,G275,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Maximum Heating Supply Air Temperature,40.55555663,28.38888964,52.72222362,Uniform,Float,G276,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Minimum Cooling Supply Air Temperature,12.77777812,8.944444681,16.61111155,Uniform,Float,G277,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Maximum Heating Supply Air Humidity Ratio,0.0156,0.01092,0.02028,Uniform,Float,G278,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Minimum Cooling Supply Air Humidity Ratio,0.0077,0.00539,0.01001,Uniform,Float,G279,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Cooling Sensible Heat Ratio,0.7,0.49,0.91,Uniform,Float,G280,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Sensible Heat Recovery Effectiveness,0.7,0.49,0.91,Uniform,Float,G281,
ZoneHVAC:IdealLoadsAirSystem,Living Room Zone Ideal Loads Air,Latent Heat Recovery Effectiveness,0.65,0.455,0.845,Uniform,Float,G282,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Maximum Heating Supply Air Temperature,40.55555663,28.38888964,52.72222362,Uniform,Float,G283,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Minimum Cooling Supply Air Temperature,12.77777812,8.944444681,16.61111155,Uniform,Float,G284,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Maximum Heating Supply Air Humidity Ratio,0.0156,0.01092,0.02028,Uniform,Float,G285,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Minimum Cooling Supply Air Humidity Ratio,0.0077,0.00539,0.01001,Uniform,Float,G286,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Cooling Sensible Heat Ratio,0.7,0.49,0.91,Uniform,Float,G287,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Sensible Heat Recovery Effectiveness,0.7,0.49,0.91,Uniform,Float,G288,
ZoneHVAC:IdealLoadsAirSystem,MB Zone Ideal Loads Air,Latent Heat Recovery Effectiveness,0.65,0.455,0.845,Uniform,Float,G289,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Maximum Heating Supply Air Temperature,40.55555663,28.38888964,52.72222362,Uniform,Float,G290,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Minimum Cooling Supply Air Temperature,12.77777812,8.944444681,16.61111155,Uniform,Float,G291,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Maximum Heating Supply Air Humidity Ratio,0.0156,0.01092,0.02028,Uniform,Float,G292,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Minimum Cooling Supply Air Humidity Ratio,0.0077,0.00539,0.01001,Uniform,Float,G293,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Cooling Sensible Heat Ratio,0.7,0.49,0.91,Uniform,Float,G294,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Sensible Heat Recovery Effectiveness,0.7,0.49,0.91,Uniform,Float,G295,
ZoneHVAC:IdealLoadsAirSystem,Basement Zone Ideal Loads Air,Latent Heat Recovery Effectiveness,0.65,0.455,0.845,Uniform,Float,G296,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Maximum Heating Supply Air Temperature,40.55555663,28.38888964,52.72222362,Uniform,Float,G297,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Minimum Cooling Supply Air Temperature,12.77777812,8.944444681,16.61111155,Uniform,Float,G298,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Maximum Heating Supply Air Humidity Ratio,0.0156,0.01092,0.02028,Uniform,Float,G299,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Minimum Cooling Supply Air Humidity Ratio,0.0077,0.00539,0.01001,Uniform,Float,G300,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Cooling Sensible Heat Ratio,0.7,0.49,0.91,Uniform,Float,G301,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Sensible Heat Recovery Effectiveness,0.7,0.49,0.91,Uniform,Float,G302,
ZoneHVAC:IdealLoadsAirSystem,SF Zone Ideal Loads Air,Latent Heat Recovery Effectiveness,0.65,0.455,0.845,Uniform,Float,G303,
