Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/02  23:30:00,-1
 01/02  23:45:00,1586.479562
 01/02  24:00:00,1155.594668
 01/03  00:15:00,1157.387715
 01/03  00:30:00,1160.72072
 01/03  00:45:00,1162.113233
 01/03  01:00:00,1161.281272
 01/03  01:15:00,1123.270111
 01/03  01:30:00,-1
 01/03  01:45:00,1609.496989
 01/03  02:00:00,1597.010873
 01/03  02:15:00,1590.622667
 01/03  02:30:00,1590.020924
 01/03  02:45:00,1588.420072
 01/03  03:00:00,-1
 01/03  03:15:00,1151.895137
 01/03  03:30:00,1157.095129
 01/03  03:45:00,1160.452478
 01/03  04:00:00,-1
 01/03  04:15:00,1600.146023
 01/03  04:30:00,1593.088203
 01/03  04:45:00,1588.210682
 01/03  05:00:00,1586.692668
 01/03  05:15:00,1586.597079
 01/03  05:30:00,1330.865928
 01/03  05:45:00,1375.927183
 01/03  06:00:00,1585.905625
 01/03  06:15:00,-1
 01/03  06:30:00,1579.839122
 01/03  06:45:00,1581.669486
 01/03  07:00:00,1578.539525
 01/03  07:15:00,1568.175458
 01/03  07:30:00,1541.063838
 01/03  07:45:00,1522.558
 01/03  08:00:00,1518.696258
 01/03  08:15:00,1517.023489
 01/03  08:30:00,1545.66626
 01/03  08:45:00,1560.908555
 01/03  09:00:00,1563.956125
 01/03  09:15:00,1566.90024
 01/03  09:30:00,-1
 01/03  09:45:00,804.0864708
 01/03  10:00:00,1146.967063
 01/03  10:15:00,1146.477578
 01/03  10:30:00,1147.536342
 01/03  10:45:00,1148.407499
 01/03  11:00:00,1149.799555
 01/03  11:15:00,1150.415758
 01/03  11:30:00,1150.119569
 01/03  11:45:00,1152.042378
 01/03  12:00:00,1152.197147
 01/03  12:15:00,1146.261604
 01/03  12:30:00,1126.053683
 01/03  12:45:00,1120.095362
 01/03  13:00:00,1126.020281
 01/03  13:15:00,1140.570131
 01/03  13:30:00,1148.853056
 01/03  13:45:00,809.0331705
 01/03  14:00:00,1157.513468
 01/03  14:15:00,1153.519619
 01/03  14:30:00,1154.008854
 01/03  14:45:00,1155.153637
 01/03  15:00:00,1154.570559
 01/03  15:15:00,1156.223034
 01/03  15:30:00,1155.797506
 01/03  15:45:00,1157.215893
 01/03  16:00:00,1156.307702
 01/03  16:15:00,544.0996674
 01/03  16:30:00,842.1737526
 01/03  16:45:00,1158.535892
 01/03  17:00:00,1154.03729
 01/03  17:15:00,1146.30985
 01/03  17:30:00,1129.197568
 01/03  17:45:00,-1
